milepost,loco_force_kN,air_force_kN,total_force_kN
307.65,4764.07501060574,65.37329119521763,4829.448301800958
308.15,3027.766049374767,58.7801075157708,3086.546156890538
308.65,5171.416286161413,320.4806500312885,5491.896936192702
309.15,5358.12961033457,7506.367725661312,12864.497335995882
309.65,5675.014278384475,14369.614895813165,20044.62917419764
310.15,3433.4039651165654,9843.99102638568,13277.394991502246
310.65,4894.903843475484,3552.51298070505,8447.416824180535
311.15,6637.281407245786,3061.8445477381256,9699.125954983912
311.65,6523.65651024294,1343.9631024427285,7867.6196126856685
312.15,6227.810941898467,1.5767091428925077,6229.387651041359
312.65,8530.58909673959,6427.749575033805,14958.338671773396
313.15,7229.884428048474,15848.323989222936,23078.20841727141
313.65,7539.778953052406,34994.427009950334,42534.205963002736
314.15,7456.775145822669,40744.570316599755,48201.345462422425
314.65,3658.9170592477553,38620.300150341514,42279.21720958927
315.15,5539.064921906358,11278.410101480958,16817.475023387316
315.65,7179.770438491034,363.801727661987,7543.572166153021
316.15,5866.335042550376,1081.6912375588345,6948.02628010921
316.65,7491.881005373098,779.7403328135853,8271.621338186684
317.15,7746.972605741865,2.7395841629948356,7749.71218990486
317.65,8967.023007894084,0.0,8967.023007894084
318.15,10213.813940139327,0.0,10213.813940139327
